priority,tier,firm,city,state,contact_name,contact_title,size_estimate,practice_focus,signal,signal_source_url,phone,published_email,website,notes
1,HOT,Law Office of Ismail Mohammed,Boston,MA,Ismail Mohammed,Owner,solo + staff,family/naturalization,PrimaFacie 2-star review: bad form merges caused USCIS rejections; switched to Docketwise,https://www.softwareadvice.com/legal/primafacie-profile/,,,https://www.docketwise.com/success-stories/ismail-mohammed/,serial buyer with form-accuracy trauma
2,HOT,Canero Fadul Reis Law,Miami,FL,Michelle Canero / Ana Cristina Fontes,Founding Partner / Legal Team Manager,3 partners + staff,employment/family/humanitarian,eImmigration case study: scaled 100 to 500 cases and measures form prep time reduced 65%,https://get.eimmigration.com/resources/how-canero-fadul-reis-built-systems-to-help-their-immigration-firm-scale,,,https://www.cfrlaw.com/contact-us,they track our exact metric; Fontes is the operational buyer
3,WARM,Powers Law Group,Houston,TX,Ruby Powers,Founder & Managing Attorney,2-4 attys ~20 staff,full immigration,Documented Lawmatics buyer (public case study); ABA TECHSHOW early-AI-adopter bio; runs practice-mgmt consultancy,https://www.lawmatics.com/case-study/powers-law-group,713-589-2085,,https://rubypowerslaw.com,buyer + channel + advisor candidate; contact form only
4,WARM,Yew Immigration Law Group,San Jose,CA,Alison Yew,Founder,boutique,mixed,eImmigration video testimonial: stopped typing data into forms & government sites,https://get.eimmigration.com/company/customers,,,https://www.yewlegal.com,CA Bar Certified Immigration Specialist
5,VOLUME,Ybarra Maldonado Law Group,Phoenix,AZ,Ray A. Ybarra Maldonado,Founder,4 attys,family/humanitarian,4.8 stars / 979 Google reviews on 4 attorneys - best volume-to-size ratio found,https://www.africanimmigrationlawyers.com/lawyers/ybarra-maldonado-law-group-phoenix,602-910-4040,info@abogadoray.com,https://abogadoray.com,Spanish/English; Doral FL satellite
6,HOT,Jaskot Law,Baltimore,MD,Jared Jaskot,Founder,small,removal/asylum/family,Built AI asylum platform Access 61 + YoTengoBot; Docketwise podcast guest on AI,https://www.docketwise.com/podcast/access-61-helping-asylum-seekers-with-an-innovative-limited-scope-and-ai-assisted-solution/,,,https://jaskot.abogado,design partner or build-vs-buy conversation
7,HOT,Peterson Conners LLP,Dublin,OH,Jane Y. Lee,Of Counsel (immigration lead),9 attys firm-wide,employment/family/asylum,Dumped LawLogix after 10 years over support and pricing (Docketwise case study),https://www.docketwise.com/success-stories/from-lawlogix-to-docketwise/,,,https://www.peterson-llp.com/jane-y-lee,proven switcher
8,VOLUME,Aparicio Immigration Law,Chicago,IL,Victor Aparicio,Lead Attorney,6 attys + paralegals,removal/family/humanitarian,8000+ immigrants helped (firm-claimed) + 4.9 Google,https://www.aparicioimmigrationlaw.com/,312-313-6707,,https://www.aparicioimmigrationlaw.com,office 1 mile from Chicago immigration court
9,WARM,Carney & Marchi P.S.,Seattle,WA,Michele Carney,Partner; AILA Innovation & Tech Cmte chair,2 attys,family/asylum/removal,AILA AI course faculty; Law360 GenAI ethics author; AILA tech committee chair,https://www.carmarlaw.com/attorneys/michele-carney/,206-590-6741,mcarney@carmarlaw.com,https://www.carmarlaw.com,pitch design partner + advisor not cold sale; confirm current vs past chair
10,HOT,Ernest Law Group PLC,Virginia Beach,VA,Anna Ernest,Owner/Shareholder,boutique,immigration + PI,Capterra 5-star Docketwise review naming gap: some forms not yet available,https://www.capterra.com/p/172490/Docketwise/reviews/,757-289-2499,,https://www.ernestlawgroup.net,women-owned
